type,id,slug,url,title,title_len,desc,desc_len,canonical,robots,h1,words
pages,3,privacy-policy,https://californiafloodinsurance.com/privacy-policy/,Privacy Policy - California Flood Insurance,43,,0,https://californiafloodinsurance.com/privacy-policy/,max-image-preview:large,PRIVACY POLICY,944
pages,241556,residential,https://californiafloodinsurance.com/residential/,Residential Flood Insurance California | Instant Quote,54,Get an instant online residential flood insurance quote for your California home. Compare private & NFIP rates from multiple carriers in minutes.,145,https://californiafloodinsurance.com/residential/,max-image-preview:large,Residential Flood Insurance,332
pages,241600,resources,https://californiafloodinsurance.com/resources/,Flood Insurance Resources & Guides | California Flood Insurance,63,"Free California flood insurance guides: costs, rates, flood zones, coverage requirements, and city-by-city help. Everything you need to make a smart decision.",158,https://californiafloodinsurance.com/resources/,max-image-preview:large,,251
pages,242781,riverside-flood-insurance,https://californiafloodinsurance.com/riverside-flood-insurance/,Riverside Flood Insurance | Private & NFIP Quotes,49,Get Riverside flood insurance built for Santa Ana River and arroyo risk. Compare private Lloyd's of London coverage vs. NFIP for better limits and rates.,153,https://californiafloodinsurance.com/riverside-flood-insurance/,max-image-preview:large,,1540
pages,242776,sacramento-flood-insurance,https://californiafloodinsurance.com/sacramento-flood-insurance/,Sacramento Flood Insurance | Private & NFIP Quotes,50,Sacramento flood insurance from a licensed CA specialist. Compare private Lloyd's of London and NFIP coverage for two-river flood risk. Get a quote today.,154,https://californiafloodinsurance.com/sacramento-flood-insurance/,max-image-preview:large,,1727
pages,242774,san-diego-flood-insurance,https://californiafloodinsurance.com/san-diego-flood-insurance/,San Diego Flood Insurance | Private & NFIP Quotes,49,"San Diego flood insurance from a licensed CA specialist. Compare private vs. NFIP coverage for Mission Valley, Southcrest, OB & coastal homes. Get a fast quote.",160,https://californiafloodinsurance.com/san-diego-flood-insurance/,max-image-preview:large,,1565
pages,242777,san-jose-flood-insurance,https://californiafloodinsurance.com/san-jose-flood-insurance/,San Jose Flood Insurance | Private & NFIP Quotes,48,San Jose flood insurance from a licensed CA specialist. Compare private vs. NFIP coverage for Coyote Creek & Guadalupe River homes. Get your quote today.,153,https://californiafloodinsurance.com/san-jose-flood-insurance/,max-image-preview:large,,1700
pages,241642,service-center,https://californiafloodinsurance.com/service-center/,Service Center - California Flood Insurance,43,,0,https://californiafloodinsurance.com/service-center/,max-image-preview:large,Service Center,13
pages,242228,staff-form,https://californiafloodinsurance.com/staff-form/,Staff Form - California Flood Insurance,39,,0,https://californiafloodinsurance.com/staff-form/,max-image-preview:large,Staff Form,13
pages,242780,stockton-flood-insurance,https://californiafloodinsurance.com/stockton-flood-insurance/,Stockton Flood Insurance | Private & NFIP Quotes,48,Stockton flood insurance from a licensed CA specialist. Compare private Lloyd's of London and NFIP coverage for Delta-levee and river homes. Quote in minutes.,158,https://californiafloodinsurance.com/stockton-flood-insurance/,max-image-preview:large,,1500
pages,242453,terms-of-service,https://californiafloodinsurance.com/terms-of-service/,Terms Of Service - California Flood Insurance,45,,0,https://californiafloodinsurance.com/terms-of-service/,max-image-preview:large,TERMS OF SERVICE,5595
pages,242326,video,https://californiafloodinsurance.com/video/,Video - California Flood Insurance,34,,0,https://californiafloodinsurance.com/video/,max-image-preview:large,Video,11
posts,323,30-day-countdown-to-the-2013-hurricane-season-begins-may-2,https://californiafloodinsurance.com/30-day-countdown-to-the-2013-hurricane-season-begins-may-2/,30-day Countdown to the 2013 Hurricane Season Begins May 2 - California Flood Insurance,87,"30 day countdown to Hurricane Season, make sure you have your flood insurance before its too late",97,https://californiafloodinsurance.com/30-day-countdown-to-the-2013-hurricane-season-begins-may-2/,max-image-preview:large,30-day Countdown to the 2013 Hurricane Season Begins May 2,82
posts,599,assess-private-flood-insurance,https://californiafloodinsurance.com/assess-private-flood-insurance/,How to assess Private Flood Insurance - California Flood Insurance,66,We have multiple private carriers to provide you with the best policy and lowest costs! New York Times: How to assess private flood insurance,141,https://californiafloodinsurance.com/assess-private-flood-insurance/,max-image-preview:large,How to assess Private Flood Insurance,53
posts,412,calflood-newstalk-kbkw-discussing-flood-insurance,https://californiafloodinsurance.com/calflood-newstalk-kbkw-discussing-flood-insurance/,CalFlood Discusses Saving People Money on Flood Insurance KBKW 94.7,67,CalFlood Discusses Saving People Money on Flood Insurance on Newstalk Radio KBKW 94.7 FM,88,https://californiafloodinsurance.com/calflood-newstalk-kbkw-discussing-flood-insurance/,max-image-preview:large,CalFlood on Newstalk KBKW Discussing Flood Insurance,137
posts,444,california-flood-preparedness-week-starts-now,https://californiafloodinsurance.com/california-flood-preparedness-week-starts-now/,California Flood Preparedness Week Starts Now! - California Flood Insurance,75,,0,https://californiafloodinsurance.com/california-flood-preparedness-week-starts-now/,max-image-preview:large,California Flood Preparedness Week Starts Now!,282
posts,242594,can-flood-insurance-be-sold-anywhere,https://californiafloodinsurance.com/can-flood-insurance-be-sold-anywhere/,Can Flood Insurance Be Sold Anywhere? - California Flood Insurance,66,,0,https://californiafloodinsurance.com/can-flood-insurance-be-sold-anywhere/,max-image-preview:large,Can Flood Insurance Be Sold Anywhere?,323
posts,242600,can-flood-insurance-drop-you,https://californiafloodinsurance.com/can-flood-insurance-drop-you/,Can Flood Insurance Drop You? CA Non-Renewal Guide,50,Can flood insurance drop you? Yes—private carriers often non-renew after a claim. Learn why the NFIP is your backstop and how to keep coverage in California.,157,https://californiafloodinsurance.com/can-flood-insurance-drop-you/,max-image-preview:large,Can Flood Insurance Drop You?,1422
posts,621,changes-coming-fema-new-flood-bill,https://californiafloodinsurance.com/changes-coming-fema-new-flood-bill/,Changes coming to FEMA with new flood bill - California Flood Insurance,71,See the latest on the flood bill as it gains bipartisan support http://www.rollcall.com/news/policy/gop-leaders-flood-insurance-bill-see-bipartisan-measure,155,https://californiafloodinsurance.com/changes-coming-fema-new-flood-bill/,max-image-preview:large,Changes coming to FEMA with new flood bill,45
posts,242307,comparing-the-admitted-vs-non-admitted-insurance-markets,https://californiafloodinsurance.com/comparing-the-admitted-vs-non-admitted-insurance-markets/,Admitted vs Non-Admitted Insurance: A CA Guide,46,Admitted vs non-admitted insurance explained for California homeowners — why reputable Lloyd's of London surplus-lines markets write most private flood.,152,https://californiafloodinsurance.com/comparing-the-admitted-vs-non-admitted-insurance-markets/,max-image-preview:large,Admitted vs. Non-Admitted Insurance: What California Homeowners Need to Know,1698
posts,227,congress-national-flood-insurance-program,https://californiafloodinsurance.com/congress-national-flood-insurance-program/,Congress and the National Flood Insurance Program - California Flood Insurance,78,"Congress has until the 31st of May to approve the NFIP, or national flood insurance program. In California we have private flood carriers that are less than 40% of the government program. Another reason to call us for all your flood insurance needs. Read the story here. http://www.usnews.com/opinion/blogs/economic-intelligence/2012/05/09/congress-should-reauthorize-reform-national-flood-insurance-program?msg=1",413,https://californiafloodinsurance.com/congress-national-flood-insurance-program/,max-image-preview:large,Congress and the National Flood Insurance Program,78
posts,382,couple-hit-with-44000-flood-insurance-premium,https://californiafloodinsurance.com/couple-hit-with-44000-flood-insurance-premium/,"Couple Hit with $44,000 Flood Insurance Premium - California Flood Insurance",76,"Couple Hit with $44,000 Flood Insurance Premium - Can you imagine buying your dream vacation home and having your flood insurance premium go from $4,300 per year to over $44,000 a year!? Read the following article.. too bad they did not call the experts at www.californiafloodinsurance.com",289,https://californiafloodinsurance.com/couple-hit-with-44000-flood-insurance-premium/,max-image-preview:large,"Couple Hit with $44,000 Flood Insurance Premium",76
posts,127,do-i-need-flood-insurance-coverage,https://californiafloodinsurance.com/do-i-need-flood-insurance-coverage/,Do I Need Flood Insurance Coverage - California Flood Insurance,63,"Even if your home has not flooded in the recent years, it does not mean there are no chances of inundation in the future. Too much rain even from an average storm can cause localized flooding. And you do not have to be located near a body of water to risk flooding. The Federal Emergency",287,https://californiafloodinsurance.com/do-i-need-flood-insurance-coverage/,max-image-preview:large,Do I Need Flood Insurance Coverage,593
posts,402,do-you-need-flood-insurance,https://californiafloodinsurance.com/do-you-need-flood-insurance/,Do You Need Flood Insurance in California? (2026),49,"Do you need flood insurance in California? Learn when it's required, why your homeowners policy won't pay, and the CA risks that put low-risk homes at risk too.",160,https://californiafloodinsurance.com/do-you-need-flood-insurance/,max-image-preview:large,Do You Need Flood Insurance in California?,1474
posts,545,dont-roll-the-dice-on-flood-insurance,https://californiafloodinsurance.com/dont-roll-the-dice-on-flood-insurance/,Don’t Roll The Dice on Flood Insurance - California Flood Insurance,67,,0,https://californiafloodinsurance.com/dont-roll-the-dice-on-flood-insurance/,max-image-preview:large,Don’t Roll The Dice on Flood Insurance,61
posts,213,excess-flood-insurance-commonplae-lenders,https://californiafloodinsurance.com/excess-flood-insurance-commonplae-lenders/,Excess Flood Insurance becoming more commonplae for Lenders - California Flood Insurance,88,"We are receiving more and more requests for excess flood insurance coverage. Unfortunately homeowners and business owners are not concerned with having more coverage but more and more lenders are requiring the coverage as a condition for funding new loans. Citibank, Chase and even Fannie Mae are requiring excess coverage. Excess coverage is additional coverage",362,https://californiafloodinsurance.com/excess-flood-insurance-commonplae-lenders/,max-image-preview:large,Excess Flood Insurance becoming more commonplae for Lenders,136
posts,234,extending-national-flood-insurance-program-choppy-waters,https://californiafloodinsurance.com/extending-national-flood-insurance-program-choppy-waters/,Extending the National Flood Insurance Program in Choppy Waters - California Flood Insurance,92,Extending the National Flood Program in choppy waters Click here to view the article on FEMA Flood Insurance and the vote to keep it going for the next five years,162,https://californiafloodinsurance.com/extending-national-flood-insurance-program-choppy-waters/,max-image-preview:large,Extending the National Flood Insurance Program in Choppy Waters,64
posts,458,fema-annouces-higher-expected-rate-increase-effective-april-2015,https://californiafloodinsurance.com/fema-annouces-higher-expected-rate-increase-effective-april-2015/,FEMA annouces Higher than Expected Rate Increase effective April 2015 - California Flood Insurance,98,Rates are going up for FEMA flood customers in April,52,https://californiafloodinsurance.com/fema-annouces-higher-expected-rate-increase-effective-april-2015/,max-image-preview:large,FEMA annouces Higher than Expected Rate Increase effective April 2015,298
posts,298,fema-head-says-flood-insurance-rates-going-up,https://californiafloodinsurance.com/fema-head-says-flood-insurance-rates-going-up/,FEMA Head says Flood Insurance Rates Going Up - California Flood Insurance,74,Flood Insurance rates are going up for policy holders across the country,72,https://californiafloodinsurance.com/fema-head-says-flood-insurance-rates-going-up/,max-image-preview:large,FEMA Head says Flood Insurance Rates Going Up,95
posts,221,flash-flooding-problems-homeowners-businesses,https://californiafloodinsurance.com/flash-flooding-problems-homeowners-businesses/,Flash Flooding causes problems for homeowners and businesses - California Flood Insurance,89,http://www.wlbt.com/story/17316800/storms-cause-flash-flooding,62,https://californiafloodinsurance.com/flash-flooding-problems-homeowners-businesses/,max-image-preview:large,Flash Flooding causes problems for homeowners and businesses,33
posts,210,flood-insurance-bakersfield-yuba-city-redding-stockton-merced-modesto-visalia,https://californiafloodinsurance.com/flood-insurance-bakersfield-yuba-city-redding-stockton-merced-modesto-visalia/,"Need for Flood Insurance in Bakersfield, Yuba City, Redding, Stockton, Merced, Modesto and Visalia - California Flood Insurance",127,"Need for Flood Insurance California Floods pose a severe threat to California, but only a few residents prefer to purchase coverage for insurance despite the fact that California flood insurance provides protection from devastation and destruction caused by natural hazards. In the absence of flood insurance in California, losses incurred can be catastrophic. California flood",377,https://californiafloodinsurance.com/flood-insurance-bakersfield-yuba-city-redding-stockton-merced-modesto-visalia/,max-image-preview:large,"Need for Flood Insurance in Bakersfield, Yuba City, Redding, Stockton, Merced, Modesto and Visalia",706
posts,284,flood-insurance-coverage,https://californiafloodinsurance.com/flood-insurance-coverage/,5 Floods and no flood insurance coverage - California Flood Insurance,69,You have to feel sorry for this elderly couple who appear to have lost it all.. but they have had 5 floods since 2005 and could not afford to carry the coverage. %CODE%,168,https://californiafloodinsurance.com/flood-insurance-coverage/,max-image-preview:large,5 Floods and no flood insurance coverage,63
posts,198,flood-insurance-mandatory-flood-zones,https://californiafloodinsurance.com/flood-insurance-mandatory-flood-zones/,Flood Insurance Mandatory In Flood Zones - California Flood Insurance,69,Just because you MUST carry Flood Insurance doesnt mean you have to pay more! http://www.waff.com/story/16612544/flood-insurance-mandatory-when-you-live-in-flood-zone,166,https://californiafloodinsurance.com/flood-insurance-mandatory-flood-zones/,max-image-preview:large,Flood Insurance Mandatory In Flood Zones,43
posts,133,flood-insurance-quote-relieve-stress-during-floods,https://californiafloodinsurance.com/flood-insurance-quote-relieve-stress-during-floods/,Flood Insurance Quote: Relieve Stress During Floods - California Flood Insurance,80,"Just a few inches of water entering your premises can cause massive damage to your property or create havoc in your home. Whether you live in a high risk area or low risk flood zone, you are vulnerable to flooding, which could cause loss of thousands of dollars, drain out your savings, or even leave",300,https://californiafloodinsurance.com/flood-insurance-quote-relieve-stress-during-floods/,max-image-preview:large,Flood Insurance Quote: Relieve Stress During Floods,519
posts,202,flood-insurance-sacramento-prepared-risk,https://californiafloodinsurance.com/flood-insurance-sacramento-prepared-risk/,Flood Insurance in Sacramento: Be Prepared for the Risk - California Flood Insurance,84,"Flood Insurance in Sacramento: Be Prepared for the Risk If you live in Sacramento, California, no one knows it better than you about the risk of flooding. A number of studies confirm the risk of catastrophic flooding in Sacramento. It is, therefore, rational to prepare yourself beforehand with the flood insurance so that when the",331,https://californiafloodinsurance.com/flood-insurance-sacramento-prepared-risk/,max-image-preview:large,Flood Insurance in Sacramento: Be Prepared for the Risk,602
posts,241706,flood-zone-map,https://californiafloodinsurance.com/flood-zone-map/,Flood Zone Map Changes - California Flood Insurance,51,,0,https://californiafloodinsurance.com/flood-zone-map/,max-image-preview:large,Flood Zone Map Changes,70
posts,242483,hiscox-flood-plus-comprehensive-flood-insurance-coverage,https://californiafloodinsurance.com/hiscox-flood-plus-comprehensive-flood-insurance-coverage/,Hiscox Flood Plus: Comprehensive Flood Insurance Coverage - California Flood Insurance,86,,0,https://californiafloodinsurance.com/hiscox-flood-plus-comprehensive-flood-insurance-coverage/,max-image-preview:large,Hiscox Flood Plus: Comprehensive Flood Insurance Coverage,366
posts,135,how-many-of-the-flood-claims-come-from-areas-that-dont-belong-to-flood-zone,https://californiafloodinsurance.com/how-many-of-the-flood-claims-come-from-areas-that-dont-belong-to-flood-zone/,How many of the flood claims come from areas that don’t belong to flood zone? - California Flood Insurance,106,,0,https://californiafloodinsurance.com/how-many-of-the-flood-claims-come-from-areas-that-dont-belong-to-flood-zone/,max-image-preview:large,How many of the flood claims come from areas that don’t belong to flood zone?,557
posts,242560,how-much-does-flood-insurance-cost,https://californiafloodinsurance.com/how-much-does-flood-insurance-cost/,Flood Insurance Cost in California (2026 Price Guide),53,"How much does flood insurance cost in California? See typical price ranges, what drives premiums, how Risk Rating 2.0 works, and why private flood often wins.",158,https://californiafloodinsurance.com/how-much-does-flood-insurance-cost/,max-image-preview:large,How Much Does Flood Insurance Cost in California?,1434
posts,242605,how-much-flood-insurance-is-required-by-lender,https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/,How Much Flood Insurance Is Required by a Lender?,49,"How much flood insurance is required by a lender? Learn the ""lesser of"" rule, escrow, NFIP caps, and how private policies satisfy your California mortgage.",155,https://californiafloodinsurance.com/how-much-flood-insurance-is-required-by-lender/,max-image-preview:large,How Much Flood Insurance Is Required by a Lender?,1567
posts,242073,how-risk-rating-2-0-affects-federal-flood-insurance-policy-holders,https://californiafloodinsurance.com/how-risk-rating-2-0-affects-federal-flood-insurance-policy-holders/,How Risk Rating 2.0 Affects Federal Flood Insurance Policy Holders - California Flood Insurance,95,,0,https://californiafloodinsurance.com/how-risk-rating-2-0-affects-federal-flood-insurance-policy-holders/,max-image-preview:large,How Risk Rating 2.0 Affects Federal Flood Insurance Policy Holders,599
posts,129,is-flood-insurance-worth-purchasing,https://californiafloodinsurance.com/is-flood-insurance-worth-purchasing/,Is Flood Insurance Worth Purchasing? - California Flood Insurance,65,"Floods are the most common natural disasters that hit the United States. In fact, no part of the country is safe from the impact of floods. There is every chance that your home might also flood. In such a natural calamity, damage to life and property can be severe if your house isn’t covered under",298,https://californiafloodinsurance.com/is-flood-insurance-worth-purchasing/,max-image-preview:large,Is Flood Insurance Worth Purchasing?,504
posts,205,long-beach-ca-flood-insurance,https://californiafloodinsurance.com/long-beach-ca-flood-insurance/,Long Beach CA Flood Insurance - California Flood Insurance,58,"Flood insurance in Long Beach is important for property owners to safeguard themselves and their homes during a flood, which often finds itself struggling with inundation during rainy days. A major rainstorm breakout or sudden sea level rise can cause extreme flooding conditions in Long Beach, which means huge losses for homeowners. Flood insurance is",353,https://californiafloodinsurance.com/long-beach-ca-flood-insurance/,max-image-preview:large,Long Beach CA Flood Insurance,592
posts,242508,loss-of-use-coverage-in-flood-insurance,https://californiafloodinsurance.com/loss-of-use-coverage-in-flood-insurance/,Loss of Use Flood Insurance: NFIP vs Private,44,"Loss of use flood insurance pays living expenses after a flood. The NFIP excludes it, but many private flood policies cover ALE. See how CA homes qualify.",154,https://californiafloodinsurance.com/loss-of-use-coverage-in-flood-insurance/,max-image-preview:large,Does Flood Insurance Cover Loss of Use? What California Homeowners Need to Know,1592
posts,593,master-flood-policies-hoas,https://californiafloodinsurance.com/master-flood-policies-hoas/,HOA Master Flood Policy: RCBAP & Condo Coverage Guide,53,"An HOA master flood policy (NFIP RCBAP) covers the condo building, but unit owners still have gaps. See what's covered and private options for California HOAs.",159,https://californiafloodinsurance.com/master-flood-policies-hoas/,max-image-preview:large,"What Is an HOA Master Flood Policy, and What Does It Cover?",1579
posts,137,measure-your-damage-with-this-interactive-tool,https://californiafloodinsurance.com/measure-your-damage-with-this-interactive-tool/,Measure Your Damage With This Interactive Tool - California Flood Insurance,75,,0,https://californiafloodinsurance.com/measure-your-damage-with-this-interactive-tool/,max-image-preview:large,Measure Your Damage With This Interactive Tool,65
posts,242502,navigating-flood-zone-x,https://californiafloodinsurance.com/navigating-flood-zone-x/,Flood Zone X: Do You Need Flood Insurance in California? (2026),63,"Flood Zone X means lower risk — not no risk. See if you need flood insurance in Zone X, what it costs (it's cheap), and how to get a fast California quote.",155,https://californiafloodinsurance.com/navigating-flood-zone-x/,max-image-preview:large,Flood Zone X: Do You Need Flood Insurance in California?,1340
posts,252,sacramento-flood-insurance-location-location-location,https://californiafloodinsurance.com/sacramento-flood-insurance-location-location-location/,"Sacramento Flood Insurance – Location, Location, Location - California Flood Insurance",86,"Location, location, location, three rules of business that flooding does not follow. Floods can happen almost anywhere. They are not limited to coastal areas or to devastating tropical storms. Flooding happens in Sacramento too. In fact Sacramento is rich in history when comes to floods. Floods are the most common natural disaster. They happen more",350,https://californiafloodinsurance.com/sacramento-flood-insurance-location-location-location/,max-image-preview:large,"Sacramento Flood Insurance – Location, Location, Location",327
posts,207,san-diego-california-flood-insurance-resort-floods,https://californiafloodinsurance.com/san-diego-california-flood-insurance-resort-floods/,San Diego California Flood Insurance: Your Only Resort During Floods - California Flood Insurance,97,"When flooding hits your home, the first thing that strikes your mind is San Diego flood insurance. After all, insurance offers protection from financial devastation and destruction caused by floods. But if you still go with the theory that it never rains in California and continue to avoid buying a flood insurance policy, you might",333,https://californiafloodinsurance.com/san-diego-california-flood-insurance-resort-floods/,max-image-preview:large,San Diego California Flood Insurance: Your Only Resort During Floods,511
posts,231,san-diego-flood-insurance-rate-decrease,https://californiafloodinsurance.com/san-diego-flood-insurance-rate-decrease/,San Diego Flood Insurance rate decrease - California Flood Insurance,68,"New rates for some San Diego residents. However, we can save you even MORE than this with our lender approved program. call now and start saving! Residents in the unincorporated areas of the County are now eligible for another 5 percent reduction in flood insurance rates, thanks to the efforts of County Watershed Protection staff.",332,https://californiafloodinsurance.com/san-diego-flood-insurance-rate-decrease/,max-image-preview:large,San Diego Flood Insurance rate decrease,429
